sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Healthcare,"SDI Limited engages in the research and development, manufacture, and marketing of dental restorative materials, whitening systems, and other dental materials in Australia. It provides adhesives, alloys, cement, composites, etchants, glass ionomers, sealants, and tooth desensitizing agents and whitening products, as well as equipment and accessories. The company sells its products through distributors, dealers, and dentists worldwide. SDI Limited was founded in 1972 and is headquartered in Bayswater, Australia.",Bayswater,61 3 8727 7111,VIC,Australia,https://www.sdi.com.au,1,3-15 Brunsdon Street,Medical Instruments & Supplies,0.13131,0.076519996,0.55816,4266000,0.088,0.10031,12494000,none,53110000,-2084625,0.895,3.824,0.059520002,2.417,0.08906,7013000,2024000,95151000,0.059,AUD,0.8,1.817,ASX,SDI FPO,SDI Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SDI.AX,finmb_878744,au_market,0.972,7.402,,118866000,0.647,1656547200,0.0,7281000,0.045,,1.3833075,0.6185,1719705600,1656547200,44256014,0.1994,92480736,4,1.1180656,,0.895,0.89,0.838225,0.022346368,0.5139,0.9,20457,0.895,0.8673,0.02,0.89,20457,0.89,AUD,36236,106385064,23359,0.89,0.95,0,36236,1.05,0.73,0.89,False,0,0.9,0.895,https://logo.clearbit.com/sdi.com.au,,,,548cd113-b741-326f-8087-2a7f8de55458
Consumer Cyclical,"SiteMinder Limited develops, markets, and sells online guest acquisition platform and commerce solutions for accommodation providers in Australia, the Asia Pacific, Europe, the Middle East, Africa, and the Americas. Its online guest acquisition platform includes Channel Manager that allows customers to sell their rooms on all connected booking sites at a same time; Online Booking Engine, an online booking engine that allows customers to take direct reservations from guests through website, social media channels, and metasearch; Hotel Website Builder, an online tool that enables customers to create websites by leveraging pre-built templates and designs; Hotel Business Intelligence, a software that delivers data analytics and insights to help customers make decisions; Little Hotelier, a property management system for reservations, check-ins and check-outs, and guest information; SiteMinder Exchange, a hotel app store; and Multi-Property. The company's commerce solution products include Global Distribution System, a network that enables travel agencies to access and book hotel rooms, airline tickets, or car rentals; SiteMinder Pay, a hotel payment processing solution; and Demand Plus, a hotel metasearch for travelers to see rates and inventory for hotels from various booking sites. SiteMinder Limited was incorporated in 2006 and is headquartered in Millers Point, Australia.",Millers Point,61 2 9221 4444,NSW,Australia,https://www.siteminder.com,1,Bond Store 3,Travel Services,-0.36429,-0.94795996,0.03412,-30505000,0.221,-0.37111,-42424000,buy,3973000,-361022880,3.12,2.871,-0.22906,11.818,,88721000,12630000,116455000,0.328,AUD,0.577,2.792,ASX,SITEMINDER FPO,SiteMinder Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SDR.AX,finmb_244666738,au_market,6.431,-17.654,,271763008,-2.84,1656547200,0.69153,-110395000,-0.922,,,0.20362,1719705600,1656547200,199560944,,748932224,4,7.2809286,,3.1,3.1,3.72615,,0.0,3.17,191658,3.1,3.037,,3.1,191658,3.03,AUD,628641,847900544,348715,3.03,3.13,,628641,6.49,2.68,3.12,False,,3.17,3.12,https://logo.clearbit.com/siteminder.com,,,,8f5c028d-d91a-382c-9fa5-a36d160bd0f4
Basic Materials,"SciDev Limited engages in supply of process control, professional services, equipment design and construction, and chemistry in Australia and the United States. The company offers coagulants and flocculants in powder and liquid form under the MaxiFlox and MaxiDry name; engineering and process control; chemistry products for applications, including thickening, filtration, centrifuging, friction reduction, shale inhibition, rheology control, and carrier fluids; chemical batching, storage, and dosage systems; engineering solutions and technologies under the TrueMud and OptiFlox name; friction reducers under the DrySlik, WetSlik, and CarrySlik names; and dynamic shears. It serves water and wastewater treatment, mining and minerals processing, oil and gas, construction, food processing, dairy, power generation, personal products and cosmetics manufacturing, paper and cardboard manufacturing, and paint manufacturing industries. The company was formerly known as Intec Limited and changed its name to SciDev Limited in March 2017. SciDev Limited was incorporated in 1973 and is headquartered in Kings Park, Australia.",Kings Park,61 2 9622 5185,NSW,Australia,https://www.scidev.com.au,1,Unit 1,Specialty Chemicals,0.02002,-0.011080001,0.28162,-1306000,0.3,-0.00093999994,1113000,buy,15657000,-4109000,0.425,1.724,-0.00051,5.928,-0.015310001,14064000,2895000,55597000,0.075,AUD,0.313,1.306,ASX,SCIDEV FPO,SciDev Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SDV.AX,finmb_7688789,au_market,0.864,43.146,,187807008,0.162,1656547200,0.23957,-616000,-0.002,,2.623457,0.25101998,1719705600,1656547200,142399102,1.809157,48021464,4,1.4356527,14.166667,0.4,0.415,0.29035,,0.0,0.45,178484,0.4,0.3062,,0.415,178484,0.4,AUD,196443,79817984,151255,0.4,0.43,0,196443,0.64,0.165,0.42,False,0,0.45,0.425,https://logo.clearbit.com/scidev.com.au,,,,7b694a90-2475-3988-972f-a799e4b9dbd8
Technology,"Sensera Limited does not have significant operations. It intends to acquire and seek new investment opportunities. Previously, it was involved in the designing and manufacturing of MicroElectroMechanical Systems based sensors and modules in the United States. The company was incorporated in 2016 and is based in Melbourne, Australia.",Melbourne,61 3 9820 6400,VIC,Australia,https://www.sensera.com,1,440 Collins Street,Semiconductors,0.0,0.0,0.0,-2531003,,0.0,-508887,none,,-1447855,0.015,95.249,-0.09084,,0.35493,4866863,0,,0.012,USD,,95.004,ASX,SENSERA FPO,Sensera Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SE1.AX,finmb_410392836,au_market,,-2.639,,413996000,-0.013,1656547200,0.20028,551949,-0.041,,,0.16681999,1719705600,1656547200,336844066,3.491228,1343083,4,,,0.015,0.015,0.0156775,,0.0,0.017,0,0.015,0.015,,0.015,0,0.014,AUD,14817926,6209940,0,0.014,0.016,0,14817926,0.027,0.014,0.015,False,0,0.017,0.015,https://logo.clearbit.com/sensera.com,,,,1cbe58dd-bd00-30b1-a6ca-72bb259e01f2
Communication Services,"Sports Entertainment Group Limited engages in sports media content and entertainment business in Australia and New Zealand. It operates in four segments: Media Australia, Media New Zealand, Complementary Services, and Sports Teams. The company operates various radio stations, such as SEN 1116, SEN 1170, SEN 1629, SEN WA, SENQ, SENZ, SENTrack, and SEN Spirit; and publishes AFL Record, a weekly match-day magazine content, as well as Lifestyle1 magazine. It also broadcasts live sports and podcasts; and TV shows, such as The Oval Office, Footy SA & WA, Off The Bench, and Women's Footy. In addition, it operates Perth Wildcats basketball team. The company delivers its brand content stories to national, metropolitan, and regional audiences through various platforms, such as radio, print, television, online, in-stadium, events, and teams. The company was formerly known as Pacific Star Network Limited and changed its name to Sports Entertainment Group Limited in November 2020. Sports Entertainment Group Limited was incorporated in 1987 and is headquartered in Southbank, Australia.",Southbank,61 3 7035 3400,VIC,Australia,https://www.sportsentertainmentnetwork.com.au,1,111 Coventry Street,Broadcasting,0.074640006,0.0291,0.65862,9946000,0.511,0.036989998,8134000,buy,71778000,1256500,0.24,1.234,0.01863,82.225,0.05898,12627000,48415000,108982000,0.048,AUD,0.464,1.097,ASX,SPORTS ENT FPO,Sports Entertainment Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SEG.AX,finmb_4493502,au_market,0.927,12.425,,231100992,0.208,1656547200,0.34665,3172000,-0.017,,1.1538461,0.58334,1719705600,1656547200,46558886,0.285408,101066008,4,0.50893027,,0.24,0.24,0.2490875,,0.0,0.24,562,0.24,0.2394,,0.24,562,0.24,AUD,2500,55464236,5120,0.24,0.25,,2500,0.29,0.205,0.24,False,,0.24,0.24,https://logo.clearbit.com/sportsentertainmentnetwork.com.au,,,,8cc5221b-ecb8-33fb-ab22-272507054f79
Industrials,"SEEK Limited, together with its subsidiaries, provides online employment marketplace services in Australia, South East Asia, Brazil, New Zealand, Mexico, the United Kingdom, Europe, and internationally. It operates through ANZ, SEEK Asia, Brazil Online, OCC, Platform support, Portfolio investments, and SEEK Growth Fund segments. The company offers Jora, an online employment marketplace; JobAdder, a talent acquisition suite that simplifies the hiring process for recruiter and corporate talent acquisition teams; and Certsy, a platform to securely verify and share work credentials, and to complete compliance checks. The company was incorporated in 1997 and is headquartered in Melbourne, Australia.",Melbourne,61 3 8517 4100,VIC,Australia,https://www.seek.com.au,1,60 Cremorne Street,Staffing & Employment Services,0.35844,0.15119,0.65392,396600000,0.38,0.34689,400200000,buy,730100000,24425000,20.9,1.978,0.05198,83.314,0.1263,325200000,1578300032,1116499968,0.92,AUD,3.155,0.779,ASX,SEEK FPO,SEEK Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SEK.AX,finmb_21922191,au_market,7.888,22.007,,353920000,3.095,1656547200,0.41216,240800000,-0.345,,6.752827,0.04607,1719705600,1656547200,337164872,1.10997,8807352320,2,6.6251035,29.43662,21.3,20.71,22.5583,0.0,0.645,21.01,572267,21.3,21.5226,0.0,20.71,572267,20.68,AUD,480505,7396928000,957055,20.68,20.92,0,480505,31.78,18.78,20.89,False,0,21.01,20.9,https://logo.clearbit.com/seek.com.au,,,,abb13483-d86c-347a-a473-f5b709bd30ff
Technology,"Senetas Corporation Limited, together with its subsidiaries, offers network data security solutions to businesses and governments worldwide. It operates in two segments, Product Division and Solutions Technology Division. The company's products include CN series network encryption hardware and CV series virtualized network encryption, SureDrop secure file sharing and collaboration, Votiro secure file gateway, and CM7 network encryption management products. It also offers support and maintenance services. In addition, the company provides cloud and network, data center, big data protection, branch offices data protection, CCTV network applications, and post-quantum encryption security services. It serves commercial, government and defense, infrastructure, finance, gaming, and healthcare industries. The company was incorporated in 1982 and is headquartered in South Melbourne, Australia.",Melbourne,61 3 9868 4555,VIC,Australia,https://www.senetas.com,1,312 Kings Way,Software—Infrastructure,-0.40423,-0.23468,0.80752,-5788646,0.405,-0.43570998,-10149558,none,20275551,-5909212,0.032,1.591,-0.19346,5.988,-0.80447996,10691806,694393,25108516,0.009,AUD,0.023,1.202,ASX,SENETAS FPO,Senetas Corporation Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SEN.AX,finmb_875708,au_market,1.182,-2.923,,1082220032,0.017,1656547200,0.0,-5892400,-0.001,,1.882353,0.41417,1719705600,1656547200,710871547,0.71074,29667706,4,1.3792549,3.2000003,0.032,0.033,0.03222,0.0,0.0,0.033,337999,0.032,0.0355,0.0,0.033,337999,0.032,AUD,268980,34631044,653019,0.032,0.033,0,268980,0.055,0.023,0.031,False,0,0.033,0.032,https://logo.clearbit.com/senetas.com,,,,d0e0503b-1a01-3eca-8979-5a12824906ab
Financial Services,"Sequoia Financial Group Limited, an integrated financial services company, provides financial products and services to retail and wholesale clients, and third-party professional service firms primarily in Australia. It operates through Sequoia Licensees Services Group, Sequoia Professional Services Group, Sequoia Equity Markets Group, and Sequoia Direct Investment Group segments. The company provides licensing and support services, and merger and acquisitions corporate advice to accountants, financial planners, mortgage brokers, insurance advisers, equity market advisers, investment professionals, and corporate advisory business units; and offers compliance, marketing, coaching, education, research, and technical support services. It also provides self-managed super fund administration, general insurance broking, legal document establishment, and company secretarial services to financial planners, licensed advisers, accountants, and lawyers. In addition, the company offers stockbroking and specialized investment solutions to third party institutional and adviser networks. Further, it provides a range of media services, and research and general advice to investors; and news, research, and data on managed funds, direct shares and bonds. The company was formerly known as MDS Financial Group Limited and changed its name to Sequoia Financial Group Limited in December 2015. Sequoia Financial Group Limited is headquartered in Sydney, Australia.",Sydney,61 2 8114 2222,NSW,Australia,https://www.sequoia.com.au,1,7 Macquarie Place,Financial Conglomerates,0.085489996,0.053179998,0.30142,14684185,0.546,0.07711,12236122,none,31992562,13263677,0.61,1.171,0.05548,50.762,0.16395001,45234080,22047536,122286944,0.342,AUD,0.933,1.049,ASX,SEQUOIA FPO,Sequoia Financial Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SEQ.AX,finmb_249161434,au_market,0.389,3.886,,132225000,0.282,1625011200,0.074439995,6503173,0.026,,2.1631205,0.45918998,1688083200,1640908800,69818513,0.421908,47553576,4,0.6595737,,0.61,0.605,0.5902875,0.013114754,0.26,0.61,38222,0.61,0.5525,0.008,0.605,38222,0.605,AUD,36208,80657248,203800,0.605,0.61,0,36208,0.76,0.465,0.585,False,0,0.61,0.61,https://logo.clearbit.com/sequoia.com.au,,,,11f966f0-7b73-3ec6-a114-8cd3a2d5ec12
Basic Materials,"Strategic Energy Resources Limited explores for and develops mineral properties in Australia. The company explores copper, gold, and mineral sands. It holds 100% interests in the East Tennant copper-gold project located in Northern Territory; the Isa North project situated in Queensland; and the Ambergate heavy mineral sands project located in Western Australia, as well as the South Cobar, East Cowal, South Cowal, Northeast Mundi, and Garema projects located in New South Wales. The company also holds interests in the Gawler Craton copper-gold project located in South Australia. Strategic Energy Resources Limited was incorporated in 1991 and is based in Melbourne, Australia.",Melbourne,61 3 9692 7222,VIC,Australia,https://www.strategicenergy.com.au,1,100 Albert Road,Other Industrial Metals & Mining,0.0,0.0,0.0,-516262,,0.0,-408862,none,,-2569828,0.014,4.148,-0.09114,,-0.14954,604809,0,,0.002,AUD,,4.002,ASX,STRATEGIC FPO,Strategic Energy Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SER.AX,finmb_4481559,au_market,,-9.664,,242640000,0.02,1656547200,0.01291,-755736,-0.015,,0.70000005,0.52444,1719705600,1656547200,109202061,0.350877,3951090,4,,,0.014,0.014,0.020285,,0.0,0.014,8264,0.014,0.01675,,0.014,8264,0.014,AUD,30938,3396960,62769,0.014,0.019,0,30938,0.036,0.013,0.014,False,0,0.014,0.014,https://logo.clearbit.com/strategicenergy.com.au,,,,7021aaef-0acb-3a6a-a2c6-5bbd70254594
Consumer Cyclical,"SECOS Group Limited, together with its subsidiaries, develops, manufactures, and sells sustainable packaging materials in Oceanic, Asia, The Americas, Europe, and Africa. The company supplies biodegradable and compostable resins, packaging products, and cast films to blue-chip companies. It also develops, manufactures, and markets bioplastic resins derived from renewable resources for the packaging and plastic products industries. SECOS Group Limited is based in Mount Waverley, Australia.",Mount Waverley,61 3 8566 6800,VIC,Australia,https://www.secosgroup.com.au,1,247 Ferntree Gully Road,Packaging & Containers,-0.0547,-0.099379994,0.13098,-4060000,-0.029,-0.091709994,-1698000,none,4066000,-5821625,0.11,4.208,-0.05312,8.962,-0.1104,4122000,2390000,31043000,0.008,AUD,0.058,2.456,ASX,SECOS FPO,SECOS Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SES.AX,finmb_52419835,au_market,1.757,-32.119,,535902016,0.05,1656547200,0.00043000001,-3085000,0.0,,2.2,0.53865004,1719705600,1656547200,259805223,1.876765,54537696,4,1.8989537,5.5,0.115,0.115,0.1371825,,0.0,0.115,68092,0.115,0.11665,,0.115,68092,0.11,AUD,49012,58949220,130438,0.11,0.115,0,49012,0.31,0.095,0.11,False,0,0.115,0.11,https://logo.clearbit.com/secosgroup.com.au,,,,0b974812-500f-33cf-a461-7d7b6f0243f4
Consumer Cyclical,"Schaffer Corporation Limited, a diversified industrial and investment company, manufactures and sells automotive leather and building materials primarily in Australia, Asia, and Europe. The company's Automotive Leather segment manufactures and supplies leather to the automotive industry. Its Building Materials segment manufactures pre-cast and pre-stressed concrete floors, beams, and wall products, such as TeeRoff beams for infrastructure, building, and resource projects. The Group Investments segment leases office, commercial, hotel, industrial, residential, and retail properties; and develops and sells property assets. It also engages in the investment activities. The company was incorporated in 1955 and is headquartered in West Perth, Australia.",West Perth,61 8 9483 1222,WA,Australia,https://www.schaffer.com.au,1,1305 Hay Street,Auto Parts,0.22726999,0.15368,0.28516,20643000,0.032,0.21218,38734000,none,48599000,5765250,18.02,2.232,0.062030002,28.959,0.14243001,39026000,63995000,170428992,2.865,AUD,12.432,1.217,ASX,SCHAFFER FPO,Schaffer Corporation Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SFC.AX,finmb_874901,au_market,1.594,7.015,,13729100,9.688,1656547200,0.16362,26191000,2.375,,1.8600332,0.56552,1719705600,1656547200,3141554,0.700898,271702624,2,1.4516214,,18.16,18.5,18.24125,0.044052865,0.4724,18.5,184,18.16,17.9008,0.8,18.5,184,18.02,AUD,1020,247398384,943,18.02,18.2,0,1020,21.61,16.0,18.02,False,0,18.5,18.02,https://logo.clearbit.com/schaffer.com.au,,,,e3a65492-d41e-3093-bb82-383f6ba15300
Consumer Defensive,"Seafarms Group Limited operates as an aquaculture company in Australia. It is involved in operating, marketing, and selling fresh and frozen farmed prawns under the Crystal Bay Prawns and Crystal Bay Tiger Prawns brand. The company also develops land-based aquaculture projects. In addition, it exports its products. The company was formerly known as Commodities Group Limited and changed its name to Seafarms Group Limited in March 2015. Seafarms Group Limited was incorporated in 1988 and is based in Darwin, Australia.",Darwin,61 8 9216 5200,NT,Australia,https://www.seafarms.com.au,1,66 Smith Street,Farm Products,-2.8871398,0.0,-1.22744,-50107912,-0.229,-2.93848,-57994184,none,-24655682,-47145756,0.008,4.061,-0.48224998,32.984,-2.37373,36195528,19214344,20087032,0.007,AUD,0.004,3.017,ASX,SEAFARMS FPO,Seafarms Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SFG.AX,finmb_20384966,au_market,2.304,-0.798,,4836599808,0.007,1656547200,0.00784,-75113536,-0.012,,1.1428572,0.60297,1719705600,1656547200,2667075989,1.189987,46286860,4,1.9262577,-0.8000001,0.008,0.009,0.0129825,,0.0,0.009,752940,0.008,0.00885,,0.009,752940,0.008,AUD,462472,38692800,1855893,0.008,0.009,0,462472,0.035,0.007,0.008,False,0,0.009,0.008,https://logo.clearbit.com/seafarms.com.au,,,,d24bee3a-8dc3-33c4-aa12-22171a5a9a30
Basic Materials,"Santa Fe Minerals Limited engages in the exploration of gold and base metals in Australia. It explores for gold, copper, lead, zinc, nickel, silver, and vanadium deposits. The company holds 7 exploration licenses in Challa South and Challa North projects covering an area of approximately 463 square kilometers in the Windamurra and Narndee Intrusions in Western Australia. It also holds an option to acquire 80% interest in the Mt Murray base metals project located in Western Australia. The company was formerly known as EZA Corporation Limited and changed its name to Santa Fe Minerals Limited in October 2017. Santa Fe Minerals Limited was founded in 2000 and is based in Nedlands, Australia.",Nedlands,61 8 9386 8382,WA,Australia,https://www.santafeminerals.com.au,1,Hampden Road,Gold,0.0,0.0,1.0,-817720,-0.947,-533.86597,-840500,none,,-498542,0.08,24.417,-0.12375,,-0.17354,2879801,0,1604,0.04,AUD,0.0,24.231,ASX,SANTAFEMIN FPO,Santa Fe Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SFM.AX,finmb_134037804,au_market,2154.26,-4.111,,72818800,0.062,1656547200,0.0,-731886,-0.013,,1.2903225,0.76906997,1719705600,1656547200,17555882,-0.074947,3455433,4,3631.8604,,0.08,0.081,0.09378,,0.0,0.081,0,0.08,0.08286,,0.081,0,0.08,AUD,69937,5825504,6421,0.08,0.076,0,69937,0.23,0.079,0.07,False,0,0.081,0.08,https://logo.clearbit.com/santafeminerals.com.au,,,,a7dee26e-9ec2-3baa-83c3-deb989552036
Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. The company owns a 100% interest in the DeGrussa copper operations located in the Bryah Basin mineral province of Western Australia; a 100% interest in the Minas De Aguas Teñidas (MATSA) Copper operations that comprise three underground mines situated in the Huelva Province of south-western Spain; and an 87% interest in the Black Butte copper project located in central Montana, the United States. It also holds interests in the Motheo copper project situated in the Kalahari Copper Belt in Botswana. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",West Perth,61 8 6430 3800,WA,Australia,https://www.sandfire.com.au,1,10 Kings Park Road,Copper,0.48276,0.12069,0.72281,391188000,0.727,0.22021,445740000,buy,667370000,247925744,5.87,0.923,0.060370002,48.87,0.09316,463092992,813902016,923305024,1.13,USD,2.655,0.805,ASX,SANDFIRE FPO,Sandfire Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SFR.AX,finmb_20385555,au_market,2.01,4.164,,409982016,4.496,1656547200,0.60695,111430000,0.561,,1.305605,0.03895,1719705600,1656547200,399474057,1.192982,1855885568,2,2.6064997,9.949153,5.76,5.92,4.7545614,0.038194444,0.6225,6.0,1868638,5.76,5.001446,0.22,5.92,1868638,5.815,AUD,2865710,2406594304,3507277,5.815,5.88,0,2865710,7.495,3.27,5.87,False,0,6.0,5.87,https://logo.clearbit.com/sandfire.com.au,,,,6dd551a4-de7d-389e-af2c-024224a53220
Basic Materials,"Sheffield Resources Limited explores for and develops mineral properties in Australia. The company explores for zircon, rutile, ilmenite, leucoxene, and titanium minerals. Its flagship project is the Thunderbird mineral sands property located in the Canning Basin in northern Western Australia. Sheffield Resources Limited was incorporated in 2007 and is based in West Perth, Australia.",West Perth,61 8 6555 8777,WA,Australia,https://www.sheffieldresources.com.au,1,41-47 Colin Street,Other Industrial Metals & Mining,0.0,314.20483,1.0,-2128000,-0.748,-40.77108,-2526000,none,,-1111000,0.54,231.408,-0.01481,,0.18365,40223000,0,83000,0.116,AUD,0.0,231.236,ASX,SHEFF RES FPO,Sheffield Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SFX.AX,finmb_115290898,au_market,1707.656,-56.111,,346588000,0.283,1656547200,0.080170006,26079000,-0.012,,1.9081273,0.32966998,1719705600,1656547200,228768582,1.522892,141735472,4,2254.91,-54.000004,0.52,0.535,0.5141,,0.0,0.54,94595,0.52,0.5624,,0.535,94595,0.525,AUD,39032,187157520,148878,0.525,0.54,0,39032,0.65,0.365,0.53,False,0,0.54,0.54,https://logo.clearbit.com/sheffieldresources.com.au,,,,f3cd6462-bfce-3c56-a868-35a81ac24d27
Basic Materials,"Sarytogan Graphite Limited engages in the exploration of graphite properties. The company holds 100% interest in the Sarytogan Graphite Project comprising an exploration concession, which covers approximately 103.92 square kilometers located in the Karaganda region of Central Kazakhstan. Sarytogan Graphite Limited was incorporated in 2004 and is based in Subiaco, Australia.",Subiaco,61 8 9388 8290,WA,Australia,https://www.sarytogangraphite.com.au,1,110 Hay Street,Other Industrial Metals & Mining,0.0,0.0,0.0,,,0.0,,none,,,0.425,,,,,,,,,,,,ASX,SARYTOGAN FPO,Sarytogan Graphite Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SGA.AX,finmb_1772264411,au_market,,,,,,,0.19924,,,,,1.32608,,,,,,4,,,0.417,0.425,0.34567073,,0.0,0.435,117272,0.417,0.32855,,0.425,117272,0.425,AUD,50116,,1043063,0.425,0.43,,50116,0.57,0.195,0.42,False,,0.435,0.425,https://logo.clearbit.com/sarytogangraphite.com.au,,,,942f9385-d046-3658-a512-d2c734c893e7
Energy,"Sacgasco Limited engages in oil and gas exploration, development, and production activities. It holds interests in a suite of assets located in the Sacramento Basin of California, as well as Canada and the Philippines. The company was formerly known as Australian Oil Company Limited and changed its name to Sacgasco Limited in November 2015. Sacgasco Limited was incorporated in 2005 and is headquartered in Subiaco, Australia.",Subiaco,61 8 9388 2654,WA,Australia,https://www.sacgasco.com,1,OCTO Building,Oil & Gas E&P,-0.44445,-0.58952,0.14517,822664,2.201,-0.56851,-6155234,none,1543577,646458,0.013,0.65,-0.16856001,,,3603461,813370,13849222,0.006,AUD,0.027,0.531,ASX,SACGASCO FPO,Sacgasco Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SGC.AX,finmb_24270030,au_market,0.545,-1.225,,481199008,0.002,1640908800,0.0,-8381123,-0.006,,6.5,0.27964002,1703980800,1656547200,437767139,2.044073,7540912,4,0.4516923,,0.013,0.013,0.0185525,,0.0,0.013,296737,0.013,0.01393,,0.013,296737,0.013,AUD,23552,6255587,466170,0.013,0.015,0,23552,0.035,0.012,0.013,False,0,0.013,0.013,https://logo.clearbit.com/sacgasco.com,,,,e7f80042-9a89-3e1d-86db-76e44f74dfdb
Industrials,"SG Fleet Group Limited provides motor vehicle fleet management, vehicle leasing, short-term hire, consumer vehicle finance, and salary packaging services in Australia, New Zealand, and the United Kingdom. The company offers fleet management services, including pricing and quoting, funding, procurement and delivery, fuel and toll management, maintenance and accident management, roadside assistance, registration and infringement management, reporting and invoicing, contract revision, changeover consulting, and vehicle disposal services. It also provides Fleetintelligence, a fleet management tool; Bookingintelligence, a resource management application; Electronic Logbook; Inspect365; eStart, a zero-emission vehicle transition plan; REVS; carsharing; safety solution; and Fleetcoach. In addition, the company offers fleet funding services; fleet management and leasing services to local, state, and federal government; and small fleet services, as well as fleet vehicle accessories, which include 4WD equipment, vehicle safety kits, rubber tree interior protection products, and in-car communications. Further, it provides commercial vehicle and truck leasing services, including multiple leasing options; initial commissioning, sourcing, and acquisition; maintenance and registration; asset disposal; and regular reviews, as well as offers novated lease, online car trade-in, and driver support services. The company was founded in 1986 and is based in Pymble, Australia. SG Fleet Group Limited operates as a subsidiary of Bluefin Investments Limited.",Pymble,61 2 9494 1000,NSW,Australia,https://www.sgfleet.com,1,Building 3,Rental & Leasing Services,0.38002,0.06849,0.5863,230026000,0.88,0.16484,336993984,buy,519914000,-869376896,1.85,1.687,0.05303,276.102,0.13081001,112263000,1519665024,886771008,0.328,AUD,2.652,0.915,ASX,SGFLEET FPO,SG Fleet Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,SGF.AX,finmb_23007488,au_market,2.351,6.186,,341984992,1.105,1656547200,0.08437,60732000,0.144,,1.6742082,0.70678,1719705600,1656547200,102256911,1.259734,2084532096,4,0.71345615,7.4,1.835,1.83,2.215875,0.055585828,0.7621,1.87,35754,1.835,1.8417,0.102,1.83,35754,1.83,AUD,26423,632672256,178632,1.83,1.86,0,26423,2.96,1.63,1.85,False,0,1.87,1.85,https://logo.clearbit.com/sgfleet.com,,,,e01f04bf-72da-3755-8be6-6a161764b46e
